OID_,Join_Count,TARGET_FID,ADDEDBY,ADDTOGIS,ARMLENGTH1_DESC,ARMLENGTH2_DESC,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,CCT_DESC,CONDITION_DESC,CROSSSTREET,FACILITYID,FEEDMANHOLE_DESC,FIXTURESTYLE_DESC,GLOBALID,HOUSENO,INOPERATION,ISMETERED_DESC,ISMODIFIED_DESC,LASTMODIFIED,LASTPAINTED,LEDINOPERATION,LIGHTHISTORY,LIGHTMANUFACTURER_DESC,LIGHTTYPE_DESC,NUMBERLIGHTS,NUMBERARMS_DESC,OTHEREQUIPMENT,OWNER_DESC,PEPCOLIGHTID,POLECOLOR_DESC,POLECOMPOSITION_DESC,POLEHEIGHT_DESC,POLETYPE_DESC,POWERFEED_DESC,PROXIMITY_DESC,QUADRANT_DESC,RMS_DESC,ROADCLASSIFICATION_DESC,SHIELD_DESC,STREETLIGHTID,STREETNAME,STREETSEGMID,TBASETYPE_DESC,TRAFFICCOMBO,WARD,WATTAGE1,WATTAGE2,WHATMODIFIED,WHYINACTIVE,SUBBLOCKKEY,XCOORD,YCOORD,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,geoName,customGeo,centrLat,centrLon,sqmi,destin,dest_sqmi
24310,1,12671834,Osmose,5/1/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,Good Condition,NEW JERSEY AVE,60992,,Cobrahead Cutoff,,0,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Black,Steel,30 ft,PP,Underground,SE Corner,NW,Not Controlled,Local,None,60992,G ST,3911,Non-Breakaway,YES,6,400,N/A,N/A,N/A,59e96ed76116f100e4aa6ce6c2b1a6cc,-77.012014370000003,38.898238820000003,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24311,1,12671835,Osmose,4/30/2007 0:00:00,N/A,N/A,N/A,Active,1,3000,Good Condition,E ST,60783,,Posttop,,600,,Not Metered,YES,4/29/2021 0:00:00,4/29/2021 0:00:00,4/29/2021 0:00:00,7/25/2016 Correct asset location.,King Luminaire,LED-Light Emitting Diode,2,N/A,NO,DDOT,N/A,Black,Cast Iron,20 ft,TW20,Underground,Block,NW,Not Controlled,Local,None,60783,2ND ST,14366,N/A,NO,6,100,100,400H to 100L. ,N/A,ec5c9e6501245208cccd684c1f86b734,-77.013582029999995,38.897554010000000,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24312,1,12671836,Osmose,4/25/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,4TH ST,60620,,Posttop,,441,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Opposite,NW,Not Controlled,Collector,None,60620,G ST,11475,N/A,NO,6,400,400,N/A,N/A,be4740e0f821808dae6429c1cf1b365d,-77.017005949999998,38.898238200000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24360,1,12671884,Osmose,4/21/2007 0:00:00,8,N/A,Simple Pendant,Active,1,N/A,,3RD ST,60144,,Cobrahead Cutoff,,0,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Gray,Steel,30 ft,PP,Underground,Ramp To,NW,Not Controlled,Collector,None,60144,D ST,6507,Non-Breakaway,NO,6,400,N/A,N/A,N/A,64dad4e209f5e9920f1075d1425e9c69,-77.014526709999998,38.894599149999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24361,1,12671885,Osmose,4/26/2007 0:00:00,8,N/A,Simple Pendant,Active,1,4000,,3RD ST,60683,,Standard LED,,0,,Not Metered,YES,6/25/2015 0:00:00,6/25/2015 0:00:00,6/25/2015 0:00:00,7/25/2016 Correct asset location.,Philips,LED-Light Emitting Diode,1,1,NO,DDOT,N/A,Black,Steel,30 ft,PP,Underground,NW Corner,NW,Not Controlled,Collector,None,60683,C ST,10438,Non-Breakaway,YES,6,110,N/A,400H to 110L. Pole replaced.,N/A,7187399466e69d018afcd626aedbe717,-77.015402589999994,38.893680179999997,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24425,1,12671952,Osmose,4/25/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,6TH ST,60623,,Posttop,,501,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Opposite,NW,Not Controlled,Collector,None,60623,G ST,3108,N/A,NO,2,400,N/A,N/A,N/A,a8271a5f31df66f4ff81f43ae59ffab7,-77.019196249999993,38.898237860000002,,,,,,Gallery Place / Chinatown,Gallery Place / Chinatown,38.899200000000000,-77.021799999999999,0.205600000000000,40394,196512.243900000001304
24426,1,12671953,Osmose,4/26/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,Good Condition,1ST ST,60735,,Posttop,,0,,Not Metered,NO,,,,7/25/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,Gray,Cast Iron,16 ft,Upright,Underground,NE Corner,NW,Not Controlled,Minor Arterial,None,60735,NEW JERSEY AVE,10591,N/A,NO,6,400,N/A,N/A,N/A,c6cc54da75b57f9cd40720c623c8d986,-77.012521809999996,38.899472910000000,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24482,1,12672010,Osmose,7/6/2007 0:00:00,8,N/A,Regular Alley,Active,2,N/A,,6TH ST,61036,,Cobrahead Cutoff,,625,,Not Metered,NO,,,,7/22/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,,Steel,28 ft,5A,Underground,Side,NW,Not Controlled,Local,None,61036,D ST,6220,None,NO,2,250,N/A,N/A,N/A,1f2e1b905a4d31401a9e4cdb2b6fa147,-77.020947570000004,38.895066610000001,,,,,,Gallery Place / Chinatown,Gallery Place / Chinatown,38.899200000000000,-77.021799999999999,0.205600000000000,40394,196512.243900000001304
24577,1,12672105,Osmose,4/22/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,NEW JERSEY AVE,60217,,Posttop,,1,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,1,N/A,NO,DDOT,N/A,,Cast Iron,16 ft,Upright,Underground,Block,NW,Not Controlled,Minor Arterial,None,60217,E ST,4398,N/A,NO,6,400,N/A,N/A,N/A,d7376f3aebe5ca04964cdd831ff4dfde,-77.011795000000006,38.896211960000002,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24579,1,12672107,Osmose,5/1/2007 0:00:00,8,N/A,Decorated Wrap,Active,1,N/A,Good Condition,E ST,60965,,Teardrop,,0,,Not Metered,NO,,,,7/25/2016 Correct asset location.,Spring City,HPS-High Pressure Sodium,1,1,NO,DDOT,N/A,Black,Steel,30 ft,PP,Underground,NW Corner,NW,Not Controlled,Collector,None,60965,1ST ST,13135,Non-Breakaway,YES,6,400,N/A,N/A,N/A,36877d4fbf25d22f6b56a18cb726cb22,-77.012244550000005,38.896031739999998,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
24584,1,12672112,Osmose,4/30/2007 0:00:00,N/A,N/A,N/A,Active,1,N/A,,F ST,60766,,Posttop,,555,,Not Metered,NO,,,,7/27/2016 Correct asset location.,General Electric,HPS-High Pressure Sodium,2,N/A,NO,DDOT,N/A,,Cast Iron,20 ft,TW20,Underground,Opposite,NW,Not Controlled,Collector,None,60766,NEW JERSEY AVE,10335,N/A,NO,6,400,400,N/A,N/A,2f34c2cce1f7fd0ef79ecd7a71234f5b,-77.011852770000004,38.896986669999997,,,,,,Downtown East / Judiciary Square,Downtown East / Judiciary Square,38.896200000000000,-77.014200000000002,0.312000000000000,17253,55306.848599999997532
