OID_,MERGE_SRC,geoName,SHAPE_Length,SHAPE_Area,Area,Acres
1,ATT_LTE_Data_Clip,Downtown East / Judiciary Square,0.038452085566841,0.000083960187562,199.808325402999998,199.808316907664192
2,ATT_LTE_Data_Clip,Dupont Circle,0.035017496041084,0.000051632683931,123.158179722000000,122.854064892938140
3,ATT_LTE_Data_Clip,Farragut Square / 19th Street,0.037946702232274,0.000072269701003,171.971267767999990,171.971333308527136
4,ATT_LTE_Data_Clip,Federal Triangle,0.035766125075332,0.000033696120940,80.193018380400005,80.193017907593173
5,ATT_LTE_Data_Clip,Foggy Bottom,0.039985108069312,0.000068280480769,164.958272356999998,162.491044454233958
6,ATT_LTE_Data_Clip,Gallery Place / Chinatown,0.046166660136133,0.000053274730802,131.660609507999993,126.778028536309748
7,ATT_LTE_Data_Clip,McPherson Square / Franklin Park,0.035735012636880,0.000062626987159,149.026271747999999,149.026298882415574
8,ATT_LTE_Data_Clip,Metro Center / 15th Street,0.044513990180184,0.000048124548545,126.851967829000003,114.524287325394397
9,ATT_LTE_Data_Clip,West End,0.020009485588983,0.000021786414208,51.840855654199999,51.840858410622040
10,ATT_LTE_Voice_Clip,Downtown East / Judiciary Square,0.038452085566841,0.000083960187562,199.808325402999998,199.808316907664192
11,ATT_LTE_Voice_Clip,Dupont Circle,0.034752981461493,0.000051760506603,123.158179722000000,123.158183634285635
12,ATT_LTE_Voice_Clip,Farragut Square / 19th Street,0.037946702232274,0.000072269701003,171.971267767999990,171.971333308527136
13,ATT_LTE_Voice_Clip,Federal Triangle,0.035766125075332,0.000033696120940,80.193018380400005,80.193017907593173
14,ATT_LTE_Voice_Clip,Foggy Bottom,0.035881008336076,0.000069317179687,164.958272356999998,164.958258098064022
15,ATT_LTE_Voice_Clip,Gallery Place / Chinatown,0.042258396165958,0.000055326601575,131.660609507999993,131.660628334627233
16,ATT_LTE_Voice_Clip,McPherson Square / Franklin Park,0.035735012636880,0.000062626987159,149.026271747999999,149.026298882415574
17,ATT_LTE_Voice_Clip,Metro Center / 15th Street,0.031705054898954,0.000053304858825,126.851967829000003,126.851961779116394
18,ATT_LTE_Voice_Clip,West End,0.020009485588983,0.000021786414208,51.840855654199999,51.840858410622040
19,T_Mobile_LTE_Data_Clip,Downtown East / Judiciary Square,0.038452085566841,0.000083960187562,199.808325402999998,199.808316907664192
20,T_Mobile_LTE_Data_Clip,Dupont Circle,0.034752981461493,0.000051760506603,123.158179722000000,123.158183634285635
21,T_Mobile_LTE_Data_Clip,Farragut Square / 19th Street,0.037946702232274,0.000072269701003,171.971267767999990,171.971333308527136
22,T_Mobile_LTE_Data_Clip,Federal Triangle,0.035766125075332,0.000033696120940,80.193018380400005,80.193017907593173
23,T_Mobile_LTE_Data_Clip,Foggy Bottom,0.035881008336076,0.000069317179687,164.958272356999998,164.958258098064022
