name,time,day,utilization,lon,lat,geometry,Subarea,Shape_Leng,Shape_Area
10th & E St NW,19,4,0.23333333333333334,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,19,6,0.6266666666666667,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,20,4,0.35,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,20,6,0.7066666666666667,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,21,4,0.26666666666666666,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,21,6,0.7466666666666667,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,22,4,0.15,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,22,6,0.6533333333333333,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,23,4,0.13333333333333333,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & E St NW,23,6,0.6933333333333334,-77.026064,38.895914,"c(-77.026064, 38.895914)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,0,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,0,6,0.11304347826086956,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,1,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,1,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,2,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,2,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,3,4,0.21739130434782608,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,3,6,0.12173913043478261,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
