region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
11001007408,District of Columbia,38.85691071,38.84899902,-76.96350098,-76.97648621,38.85257339,-76.97068787,1037,171,96.41255605,79.53488372,358,1402,541,268,8920,33,11489,8.25,2872.25,92378.22319,461010.6485,169563.5233,72449.51789,2743171.228,9914.761084,3538573.141,"[[0,56],[5,47],[10,22],[15,15],[20,6],[25,3],[30,3],[35,1],[40,2],[45,2],[55,2],[65,2],[70,1],[75,2],[80,1],[85,2],[90,1],[100,1],[125,1],[215,1]]",2248.623923,4,POINT(-76.9706878662109 38.8525733947754)
11001011000,District of Columbia,38.87731171,38.85636902,-77.01318359,-77.02378082,38.86883926,-77.01805115,1037,48,26.06635071,87.27272727,19,3273,1104,1618,2657,43,8671,10.75,2167.75,4855.031287,1115091.791,316590.9207,459457.2863,799267.0349,13565.41801,2695262.065,"[[0,13],[5,8],[10,3],[15,3],[20,2],[25,3],[30,1],[35,2],[40,2],[45,1],[60,1],[65,1],[90,1],[105,1],[125,1],[155,1],[180,1],[210,1],[265,1],[335,1]]",1712.732934,1,POINT(-77.0180511474609 38.868839263916)
11001000702,District of Columbia,38.92618942,38.92148972,-77.07312012,-77.08226776,38.9241066,-77.07781219,1037,92,96.09375,74.79674797,26,294,55,203,15584,49,16162,12.25,4040.5,6979.400012,92076.22468,16022.50031,57154.79127,4705607.129,14165.02712,4877840.045,"[[0,19],[5,19],[10,15],[15,4],[20,6],[40,5],[50,2],[55,3],[60,1],[70,4],[80,1],[85,2],[115,1],[140,1],[160,1],[180,1],[190,1],[195,1],[200,1],[265,1],[285,2],[325,1]]",3099.675316,0,POINT(-77.0778121948242 38.9241065979004)
11001010900,District of Columbia,38.82408905,38.79164124,-77.00124359,-77.0391922,38.8116188,-77.02488708,1037,224,97.44525547,83.89513109,278,2093,3020,3976,40159,57,49526,14.25,12381.5,75565.37924,688392.5241,866036.2369,1175818.02,12390479.51,17697.11258,15196291.67,"[[0,45],[5,53],[10,15],[15,18],[20,6],[25,5],[30,10],[35,4],[40,1],[45,3],[50,6],[55,1],[60,3],[65,7],[70,5],[75,3],[80,1],[90,3],[95,2],[100,1],[110,2],[115,2],[120,2],[125,1],[130,1],[135,2],[140,1],[145,1],[160,1],[170,1],[180,1],[185,2],[195,2],[200,1],[265,1],[285,1],[310,1],[350,1],[365,1],[390,1],[420,1],[440,1],[445,1],[460,1],[570,1],[815,1]]",9656.645103,2,POINT(-77.0248870849609 38.8116188049316)
11001006804,District of Columbia,38.89768982,38.87694931,-76.96174622,-76.98162079,38.8878746,-76.97128296,1037,38,98.33333333,64.40677966,4,5286,1463,451,18709,156,25913,39,6478.25,1153.578143,1702904.22,429101.6519,130603.3343,5637352.112,44325.08904,7901114.897,"[[0,8],[5,7],[10,1],[15,1],[20,1],[35,1],[45,1],[55,1],[60,1],[70,1],[85,1],[100,2],[120,1],[135,1],[140,1],[215,2],[325,1],[355,1],[375,1],[550,1],[685,1],[1050,1],[1590,1]]",5020.847462,0,POINT(-76.9712829589844 38.8878746032715)
11001002302,District of Columbia,38.9446106,38.9262619,-77.00097656,-77.0192337,38.93389511,-77.01087952,1037,109,98.4,88.61788618,182,4116,2901,3021,26599,87,36819,21.75,9204.75,42201.50266,1356137.93,847048.3865,855607.0897,8022135.296,25600.99893,11123130.2,"[[0,13],[5,14],[10,12],[15,13],[20,4],[25,6],[30,4],[35,2],[40,3],[45,5],[50,3],[55,3],[60,2],[65,1],[70,1],[80,2],[85,2],[95,1],[100,1],[105,1],[110,1],[115,1],[145,1],[150,1],[160,2],[165,1],[175,2],[180,1],[240,1],[475,1],[495,1],[915,1],[1290,1],[1655,1]]",7068.311345,0,POINT(-77.0108795166016 38.933895111084)
11001006400,District of Columbia,38.87646866,38.86077118,-77.00567627,-77.01554108,38.86869049,-77.0114975,1037,67,26.39484979,54.47154472,92,786,633,743,23563,91,25817,22.75,6454.25,25259.35018,264380.2523,177800.5022,209409.2296,7190788.915,27565.61766,7867638.25,"[[0,16],[5,5],[10,6],[15,5],[20,5],[30,5],[35,2],[40,1],[45,3],[50,2],[55,1],[75,1],[80,1],[85,1],[90,1],[100,1],[190,2],[210,1],[215,1],[260,1],[275,1],[375,1],[735,1],[785,1],[895,1],[910,1]]",4999.574371,0,POINT(-77.0114974975586 38.8686904907227)
11001007403,District of Columbia,38.85118866,38.84542847,-76.96559906,-76.98126984,38.84846115,-76.97442627,1037,115,92.24137931,53.73831776,2461,3119,968,1034,5930,103,13512,25.75,3378,684363.3759,1026034.657,284463.2097,312606.4375,1825331.874,31762.8498,4132799.555,"[[0,20],[5,11],[10,3],[15,9],[20,10],[25,20],[30,19],[35,4],[40,3],[45,2],[50,2],[55,1],[70,1],[75,1],[80,1],[85,1],[90,2],[95,1],[100,2],[125,1],[170,1]]",2626.231415,0,POINT(-76.9744262695312 38.848461151123)
11001010700,District of Columbia,38.9093895,38.89873886,-77.03652954,-77.04972839,38.90399933,-77.04197693,1037,184,58.08823529,77.6371308,55,482,340,396,56014,158,57287,39.5,14321.75,14679.53061,151010.1818,99315.06634,112966.3958,16562472.77,45347.26436,16940443.94,"[[0,32],[5,23],[10,16],[15,6],[20,6],[25,3],[30,4],[35,3],[40,7],[45,2],[50,4],[55,1],[60,1],[65,2],[70,3],[75,5],[80,3],[85,2],[90,5],[95,2],[100,2],[105,2],[110,2],[115,6],[125,1],[130,1],[135,1],[140,1],[145,3],[150,2],[155,3],[160,4],[165,5],[175,2],[180,3],[210,2],[225,1],[235,1],[260,1],[265,1],[270,1],[295,1],[305,2],[320,2],[465,1],[475,1],[490,1],[570,1]]",10764.9852,1,POINT(-77.0419769287109 38.9039993286133)
11001004701,District of Columbia,38.90734863,38.9025116,-77.00904846,-77.02191925,38.90413666,-77.01364899,1037,17,19.58762887,89.47368421,14,5,19,18,5811,254,5867,63.5,1466.75,3756.408154,1636.901715,5355.147961,4486.895062,1743079.349,72323.99109,1758314.702,"[[0,4],[5,3],[15,1],[60,1],[65,1],[100,1],[115,1],[145,1],[160,1],[215,1],[245,1],[300,1]]",1117.339771,0,POINT(-77.0136489868164 38.9041366577148)
