lot_id,lot_polygon,lot_geometry,lot_centroid,lot_sqft,BLOCKID10,num_spaces,num_handicap_spaces,has_ev_charging,format,type,category,rate_card,open_hours,operator,weekday_averages,weekend_averages
87264,{mmlFn`fuMr@??~Bs@??_C,"POLYGON((-77.04152 38.90414, -77.04152 38.90388, -77.04088 38.90388, -77.04088 38.90414, -77.04152 38.90414))",POINT(-77.0411956 38.9040101),17234,110010107001002,183,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20.95, Early Bird (In By 9am): $13.95, Monthly: $294.95-$570.95",Mon-Fri: 7am-6pm,Colonial Parking,"108,113,114,115,117,117,117,117,117,115,113,110,109,108,108,104,105,109,110,108,109,110,112,110","110,118,117,117,118,118,118,117,116,112,109,104,101,101,101,99,101,105,107,106,107,108,109,106"
80114,_yklFtjcuM?tBhA?Gd@yA@?c@K??a@J??g@F??o@N?,"POLYGON((-77.02715 38.89576, -77.02739 38.89576, -77.02739 38.8958, -77.02759 38.8958, -77.02759 38.89586, -77.02776 38.89586, -77.02776 38.8958, -77.02794 38.8958, -77.02793 38.89535, -77.02774 38.89531, -77.02774 38.89568, -77.02715 38.89568, -77.02715 38.89576))",POINT(-77.0277862 38.8956812),16879,110010058001044,68,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $14, Daily Max: $25, Evening (In After 5pm): $14, Monthly: $300",Sat-Sun: 10am-6pm,Colonial Parking,"47,47,47,47,47,48,47,48,47,48,46,46,45,45,45,44,44,45,46,45,46,46,47,48","47,47,47,47,47,47,47,46,45,45,43,43,42,42,42,41,42,43,44,43,44,44,45,45"
80150,wqllFbnduMWmAv@c@f@xBe@Va@_@,"POLYGON((-77.03298 38.89947, -77.03286 38.89928, -77.03225 38.89948, -77.03243 38.89976, -77.03282 38.89964, -77.03298 38.89947))",POINT(-77.0326290372917 38.8995141858415),20363,110010101001027,82,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $13, 24 Hours: $23, Evening (In After 5pm): $10, Monthly: $296.19-$592.38","Mon-Fri: 6am-11pm, Sat: 8am-6pm",PMI,"60,59,59,59,60,60,60,60,58,60,56,55,54,54,54,53,52,54,55,55,58,59,59,62","61,61,60,59,60,59,60,60,57,57,53,50,50,50,50,50,50,52,53,54,56,57,57,59"
80143,umllFtdduMAyBjB?AfBy@??Nm@@????,"POLYGON((-77.0313 38.89876, -77.03122 38.89876, -77.03122 38.89847, -77.0307 38.89846, -77.0307 38.899, -77.03131 38.89899, -77.0313 38.89876))",POINT(-77.0309786626071 38.8987401398286),30617,110010058001009,123,1,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $15, 12 Hours: $28, 24 Hours: $35, Monthly: $310-$620, Tax Included",Mon-Sun: 24 Hours,PMI,"70,75,75,76,76,76,76,76,74,74,73,69,68,68,68,66,65,68,69,67,68,68,68,71","70,77,77,76,76,76,76,75,72,70,68,64,62,62,62,61,62,63,64,63,64,64,64,67"
80196,mhmlFdaguMd@??X`A@?d@iB?@aA????,"POLYGON((-77.04644 38.90328, -77.04644 38.90275, -77.04625 38.90275, -77.04624 38.90308, -77.04611 38.90308, -77.04611 38.90327, -77.04644 38.90328))",POINT(-77.0463094444444 38.903046965812),13330,110010107001012,54,2,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $14, Daily Max: $21, Early Bird (In By 9:30am): $13, Monthly: $280-$410",Mon-Fri: 7am-7pm,QuikPark,"37,34,35,35,35,35,35,35,34,34,33,32,32,32,32,30,31,31,33,33,34,36,37,38","38,35,35,35,35,35,35,35,34,32,31,29,28,28,28,28,29,30,31,31,33,34,36,36"
87187,uyllFbwcuMFFN??l@qA@?sAr@@DX,"POLYGON((-77.02901 38.90094, -77.029 38.9012, -77.02942 38.9012, -77.02941 38.90079, -77.02918 38.90079, -77.02918 38.90087, -77.02914 38.90091, -77.02901 38.90094))",POINT(-77.0292284 38.9010013),15101,110010101001020,216,0,false,Subterranean,Non-restricted,Public Parking,"1 Hour: $12, Daily Max: $20, Early Bird (In By 9:30am): $13, Evening (In After 5pm): $10, Sat: $10, Monthly: $260","Mon-Fri: 6am-10pm, Sat: 11am-7pm",One Parking,"136,135,135,136,137,138,137,137,138,139,133,129,125,124,125,120,119,125,128,128,133,136,138,139","140,139,137,135,136,136,135,135,135,134,127,121,115,115,115,114,114,119,123,124,128,131,133,134"
87292,mtllFfgduM@_DTIt@zCQH{@B,"POLYGON((-77.0317 38.89977, -77.03165 38.89968, -77.03087 38.89995, -77.03092 38.90006, -77.03172 38.90007, -77.0317 38.89977))",POINT(-77.0313717107126 38.8999242834671),21948,110010101001028,67,1,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $7, Daily Max: $14, Early Bird (In By 9am): $15, Monthly: $300-$600",Mon-Fri: 7am-7pm,Atlantic Parking,"39,41,41,42,42,42,42,41,41,42,40,39,38,38,38,36,37,38,38,37,37,38,38,40","39,41,41,41,41,41,41,41,40,40,38,35,34,34,34,33,34,35,35,35,36,36,36,37"
53914,_smlFnhhuM@`C_@?AaC^?,"POLYGON((-77.0524 38.90512, -77.05305 38.90511, -77.05305 38.90495, -77.0524 38.90496, -77.0524 38.90512))",POINT(-77.052725 38.9050397),10771,110010055002011,240,0,false,Subterranean,Non-restricted,Public Parking,"30 Min: $7, 1 Hour: $12.95, Daily Max: $22.95, Evening (In After 5pm): $10, Monthly: $274-$548, Tax Included",Mon-Fri: 6am-9pm,Colonial Parking,"144,139,138,140,140,140,140,139,139,130,130,127,125,125,125,118,117,123,131,133,136,140,143,146","142,140,137,135,135,135,135,133,131,120,118,111,108,108,108,106,107,115,120,125,129,134,135,138"
80151,m}klF`jduMeApF{A@@qF~CA,"POLYGON((-77.03218 38.89719, -77.03339 38.8972, -77.03338 38.89674, -77.03217 38.89639, -77.03218 38.89719))",POINT(-77.0327254569362 38.8968721203156),78772,110010058001036,245,1,true,Subterranean,Non-restricted,Hotel,"2 Hours: $22, 4 Hours: $28, Daily Max: $35, Monthly: $325-$650",Mon-Sun: 24 Hours,Colonial Parking,"152,158,159,160,161,163,162,160,158,159,158,154,149,149,149,145,143,146,146,146,148,150,150,155","155,163,163,161,161,161,161,159,154,155,150,144,140,140,140,139,135,140,141,140,144,145,143,148"
24992,g`mlFzubuM@yIzD@?jA_@?AhB`@A?`De@@?OgCA?ROA????,"POLYGON((-77.02383 38.90188, -77.02373 38.90188, -77.02374 38.9012, -77.02382 38.9012, -77.02381 38.90101, -77.023 38.90101, -77.02301 38.90118, -77.02248 38.90117, -77.02248 38.90101, -77.0221 38.90101, -77.02209 38.90195, -77.02382 38.90196, -77.02383 38.90188))",POINT(-77.0229398402427 38.9015040510055),153827,110010058001001,619,0,true,Subterranean,Non-restricted,Public Parking,"1 Hour: $11, Daily Max: $35, Early Bird (In By 9am): $15, Evening (In After 5pm): $16, Monthly: $280-$550, Tax Included",Mon-Sun: 24 Hours,Colonial Parking,"420,417,421,423,427,426,426,423,419,421,403,393,377,376,377,370,370,386,396,391,398,406,419,425","419,426,426,423,422,422,422,417,411,401,380,361,341,341,341,346,349,371,380,376,384,391,400,406"
